Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6346
2048.0,0,Male,[0:5),6346
2048.0,1,Male,[0:200),70389
2048.0,0,Male,[0:200),70389
2048.0,1,Male,[5:10),6244
2048.0,0,Male,[5:10),6244
2048.0,1,Male,[10:15),6249
2048.0,0,Male,[10:15),6249
2048.0,1,Male,[15:20),6110
2048.0,0,Male,[15:20),6110
2048.0,1,Male,[20:25),6177
2048.0,0,Male,[20:25),6177
2048.0,1,Male,[25:30),5932
2048.0,0,Male,[25:30),5932
2048.0,1,Male,[30:35),5694
2048.0,0,Male,[30:35),5694
2048.0,1,Male,[35:40),5168
2048.0,0,Male,[35:40),5168
2048.0,1,Male,[40:45),4736
2048.0,0,Male,[40:45),4736
2048.0,1,Male,[45:50),4377
2048.0,0,Male,[45:50),4377
2048.0,1,Male,[50:55),4049
2048.0,0,Male,[50:55),4049
2048.0,1,Male,[55:60),3432
2048.0,0,Male,[55:60),3432
2048.0,1,Male,[60:65),2549
2048.0,0,Male,[60:65),2549
2048.0,1,Male,[65:70),1582
2048.0,0,Male,[65:70),1582
2048.0,1,Male,[70:75),952
2048.0,0,Male,[70:75),952
2048.0,1,Male,[75:80),483
2048.0,0,Male,[75:80),483
2048.0,1,Female,[0:5),6406
2048.0,0,Female,[0:5),6406
2048.0,1,Female,[0:200),75807
2048.0,0,Female,[0:200),75807
2048.0,1,Female,[5:10),6389
2048.0,0,Female,[5:10),6389
2048.0,1,Female,[10:15),6436
2048.0,0,Female,[10:15),6436
2048.0,1,Female,[15:20),6229
2048.0,0,Female,[15:20),6229
2048.0,1,Female,[20:25),6196
2048.0,0,Female,[20:25),6196
2048.0,1,Female,[25:30),6054
2048.0,0,Female,[25:30),6054
2048.0,1,Female,[30:35),5911
2048.0,0,Female,[30:35),5911
2048.0,1,Female,[35:40),5522
2048.0,0,Female,[35:40),5522
2048.0,1,Female,[40:45),4970
2048.0,0,Female,[40:45),4970
2048.0,1,Female,[45:50),4701
2048.0,0,Female,[45:50),4701
2048.0,1,Female,[50:55),4428
2048.0,0,Female,[50:55),4428
2048.0,1,Female,[55:60),4165
2048.0,0,Female,[55:60),4165
2048.0,1,Female,[60:65),3119
2048.0,0,Female,[60:65),3119
2048.0,1,Female,[65:70),2010
2048.0,0,Female,[65:70),2010
2048.0,1,Female,[70:75),1343
2048.0,0,Female,[70:75),1343
2048.0,1,Female,[75:80),997
2048.0,0,Female,[75:80),997
2049.0,1,Male,[0:5),6388
2049.0,0,Male,[0:5),6388
2049.0,1,Male,[0:200),71045
2049.0,0,Male,[0:200),71045
2049.0,1,Male,[5:10),6148
2049.0,0,Male,[5:10),6148
2049.0,1,Male,[10:15),6266
2049.0,0,Male,[10:15),6266
2049.0,1,Male,[15:20),6132
2049.0,0,Male,[15:20),6132
2049.0,1,Male,[20:25),6151
2049.0,0,Male,[20:25),6151
2049.0,1,Male,[25:30),6000
2049.0,0,Male,[25:30),6000
2049.0,1,Male,[30:35),5744
2049.0,0,Male,[30:35),5744
2049.0,1,Male,[35:40),5252
2049.0,0,Male,[35:40),5252
2049.0,1,Male,[40:45),4819
2049.0,0,Male,[40:45),4819
2049.0,1,Male,[45:50),4433
2049.0,0,Male,[45:50),4433
2049.0,1,Male,[50:55),4036
2049.0,0,Male,[50:55),4036
2049.0,1,Male,[55:60),3450
2049.0,0,Male,[55:60),3450
2049.0,1,Male,[60:65),2723
2049.0,0,Male,[60:65),2723
2049.0,1,Male,[65:70),1670
2049.0,0,Male,[65:70),1670
2049.0,1,Male,[70:75),998
2049.0,0,Male,[70:75),998
2049.0,1,Male,[75:80),514
2049.0,0,Male,[75:80),514
2049.0,1,Female,[0:5),6425
2049.0,0,Female,[0:5),6425
2049.0,1,Female,[0:200),76693
2049.0,0,Female,[0:200),76693
2049.0,1,Female,[5:10),6370
2049.0,0,Female,[5:10),6370
2049.0,1,Female,[10:15),6460
2049.0,0,Female,[10:15),6460
2049.0,1,Female,[15:20),6200
2049.0,0,Female,[15:20),6200
2049.0,1,Female,[20:25),6228
2049.0,0,Female,[20:25),6228
2049.0,1,Female,[25:30),6111
2049.0,0,Female,[25:30),6111
2049.0,1,Female,[30:35),5980
2049.0,0,Female,[30:35),5980
2049.0,1,Female,[35:40),5532
2049.0,0,Female,[35:40),5532
2049.0,1,Female,[40:45),5068
2049.0,0,Female,[40:45),5068
2049.0,1,Female,[45:50),4748
2049.0,0,Female,[45:50),4748
2049.0,1,Female,[50:55),4440
2049.0,0,Female,[50:55),4440
2049.0,1,Female,[55:60),4201
