Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6078
2048.0,0,Male,[0:5),6078
2048.0,1,Male,[0:200),67704
2048.0,0,Male,[0:200),67704
2048.0,1,Male,[5:10),5855
2048.0,0,Male,[5:10),5855
2048.0,1,Male,[10:15),6065
2048.0,0,Male,[10:15),6065
2048.0,1,Male,[15:20),5970
2048.0,0,Male,[15:20),5970
2048.0,1,Male,[20:25),5852
2048.0,0,Male,[20:25),5852
2048.0,1,Male,[25:30),5666
2048.0,0,Male,[25:30),5666
2048.0,1,Male,[30:35),5493
2048.0,0,Male,[30:35),5493
2048.0,1,Male,[35:40),5344
2048.0,0,Male,[35:40),5344
2048.0,1,Male,[40:45),4528
2048.0,0,Male,[40:45),4528
2048.0,1,Male,[45:50),4200
2048.0,0,Male,[45:50),4200
2048.0,1,Male,[50:55),3822
2048.0,0,Male,[50:55),3822
2048.0,1,Male,[55:60),3289
2048.0,0,Male,[55:60),3289
2048.0,1,Male,[60:65),2406
2048.0,0,Male,[60:65),2406
2048.0,1,Male,[65:70),1534
2048.0,0,Male,[65:70),1534
2048.0,1,Male,[70:75),878
2048.0,0,Male,[70:75),878
2048.0,1,Male,[75:80),451
2048.0,0,Male,[75:80),451
2048.0,1,Female,[0:5),6209
2048.0,0,Female,[0:5),6209
2048.0,1,Female,[0:200),71975
2048.0,0,Female,[0:200),71975
2048.0,1,Female,[5:10),5848
2048.0,0,Female,[5:10),5848
2048.0,1,Female,[10:15),6033
2048.0,0,Female,[10:15),6033
2048.0,1,Female,[15:20),6009
2048.0,0,Female,[15:20),6009
2048.0,1,Female,[20:25),5763
2048.0,0,Female,[20:25),5763
2048.0,1,Female,[25:30),5776
2048.0,0,Female,[25:30),5776
2048.0,1,Female,[30:35),5619
2048.0,0,Female,[30:35),5619
2048.0,1,Female,[35:40),5148
2048.0,0,Female,[35:40),5148
2048.0,1,Female,[40:45),4793
2048.0,0,Female,[40:45),4793
2048.0,1,Female,[45:50),4421
2048.0,0,Female,[45:50),4421
2048.0,1,Female,[50:55),4255
2048.0,0,Female,[50:55),4255
2048.0,1,Female,[55:60),3930
2048.0,0,Female,[55:60),3930
2048.0,1,Female,[60:65),3059
2048.0,0,Female,[60:65),3059
2048.0,1,Female,[65:70),1911
2048.0,0,Female,[65:70),1911
2048.0,1,Female,[70:75),1331
2048.0,0,Female,[70:75),1331
2048.0,1,Female,[75:80),893
2048.0,0,Female,[75:80),893
2049.0,1,Male,[0:5),6002
2049.0,0,Male,[0:5),6002
2049.0,1,Male,[0:200),68274
2049.0,0,Male,[0:200),68274
2049.0,1,Male,[5:10),5883
2049.0,0,Male,[5:10),5883
2049.0,1,Male,[10:15),6015
2049.0,0,Male,[10:15),6015
2049.0,1,Male,[15:20),5995
2049.0,0,Male,[15:20),5995
2049.0,1,Male,[20:25),5799
2049.0,0,Male,[20:25),5799
2049.0,1,Male,[25:30),5767
2049.0,0,Male,[25:30),5767
2049.0,1,Male,[30:35),5563
2049.0,0,Male,[30:35),5563
2049.0,1,Male,[35:40),5309
2049.0,0,Male,[35:40),5309
2049.0,1,Male,[40:45),4683
2049.0,0,Male,[40:45),4683
2049.0,1,Male,[45:50),4206
2049.0,0,Male,[45:50),4206
2049.0,1,Male,[50:55),3883
2049.0,0,Male,[50:55),3883
2049.0,1,Male,[55:60),3340
2049.0,0,Male,[55:60),3340
2049.0,1,Male,[60:65),2518
2049.0,0,Male,[60:65),2518
2049.0,1,Male,[65:70),1638
2049.0,0,Male,[65:70),1638
2049.0,1,Male,[70:75),922
2049.0,0,Male,[70:75),922
2049.0,1,Male,[75:80),468
2049.0,0,Male,[75:80),468
2049.0,1,Female,[0:5),6120
2049.0,0,Female,[0:5),6120
2049.0,1,Female,[0:200),72742
2049.0,0,Female,[0:200),72742
2049.0,1,Female,[5:10),5944
2049.0,0,Female,[5:10),5944
2049.0,1,Female,[10:15),6020
2049.0,0,Female,[10:15),6020
2049.0,1,Female,[15:20),5976
2049.0,0,Female,[15:20),5976
2049.0,1,Female,[20:25),5838
2049.0,0,Female,[20:25),5838
2049.0,1,Female,[25:30),5761
2049.0,0,Female,[25:30),5761
2049.0,1,Female,[30:35),5685
