Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),6228
2048.0,0,Male,[0:5),6228
2048.0,1,Male,[0:200),70049
2048.0,0,Male,[0:200),70049
2048.0,1,Male,[5:10),6145
2048.0,0,Male,[5:10),6145
2048.0,1,Male,[10:15),6320
2048.0,0,Male,[10:15),6320
2048.0,1,Male,[15:20),6104
2048.0,0,Male,[15:20),6104
2048.0,1,Male,[20:25),6272
2048.0,0,Male,[20:25),6272
2048.0,1,Male,[25:30),5866
2048.0,0,Male,[25:30),5866
2048.0,1,Male,[30:35),5534
2048.0,0,Male,[30:35),5534
2048.0,1,Male,[35:40),5278
2048.0,0,Male,[35:40),5278
2048.0,1,Male,[40:45),4882
2048.0,0,Male,[40:45),4882
2048.0,1,Male,[45:50),4308
2048.0,0,Male,[45:50),4308
2048.0,1,Male,[50:55),3974
2048.0,0,Male,[50:55),3974
2048.0,1,Male,[55:60),3381
2048.0,0,Male,[55:60),3381
2048.0,1,Male,[60:65),2457
2048.0,0,Male,[60:65),2457
2048.0,1,Male,[65:70),1610
2048.0,0,Male,[65:70),1610
2048.0,1,Male,[70:75),892
2048.0,0,Male,[70:75),892
2048.0,1,Male,[75:80),483
2048.0,0,Male,[75:80),483
2048.0,1,Female,[0:5),6309
2048.0,0,Female,[0:5),6309
2048.0,1,Female,[0:200),75045
2048.0,0,Female,[0:200),75045
2048.0,1,Female,[5:10),6184
2048.0,0,Female,[5:10),6184
2048.0,1,Female,[10:15),6391
2048.0,0,Female,[10:15),6391
2048.0,1,Female,[15:20),6227
2048.0,0,Female,[15:20),6227
2048.0,1,Female,[20:25),6168
2048.0,0,Female,[20:25),6168
2048.0,1,Female,[25:30),5976
2048.0,0,Female,[25:30),5976
2048.0,1,Female,[30:35),5817
2048.0,0,Female,[30:35),5817
2048.0,1,Female,[35:40),5386
2048.0,0,Female,[35:40),5386
2048.0,1,Female,[40:45),5056
2048.0,0,Female,[40:45),5056
2048.0,1,Female,[45:50),4664
2048.0,0,Female,[45:50),4664
2048.0,1,Female,[50:55),4506
2048.0,0,Female,[50:55),4506
2048.0,1,Female,[55:60),3978
2048.0,0,Female,[55:60),3978
2048.0,1,Female,[60:65),3161
2048.0,0,Female,[60:65),3161
2048.0,1,Female,[65:70),1979
2048.0,0,Female,[65:70),1979
2048.0,1,Female,[70:75),1362
2048.0,0,Female,[70:75),1362
2048.0,1,Female,[75:80),962
2048.0,0,Female,[75:80),962
2049.0,1,Male,[0:5),6155
2049.0,0,Male,[0:5),6155
2049.0,1,Male,[0:200),70721
2049.0,0,Male,[0:200),70721
2049.0,1,Male,[5:10),6190
2049.0,0,Male,[5:10),6190
2049.0,1,Male,[10:15),6329
2049.0,0,Male,[10:15),6329
2049.0,1,Male,[15:20),6136
2049.0,0,Male,[15:20),6136
2049.0,1,Male,[20:25),6247
2049.0,0,Male,[20:25),6247
2049.0,1,Male,[25:30),5851
2049.0,0,Male,[25:30),5851
2049.0,1,Male,[30:35),5627
2049.0,0,Male,[30:35),5627
2049.0,1,Male,[35:40),5344
2049.0,0,Male,[35:40),5344
2049.0,1,Male,[40:45),4986
2049.0,0,Male,[40:45),4986
2049.0,1,Male,[45:50),4353
2049.0,0,Male,[45:50),4353
2049.0,1,Male,[50:55),4005
2049.0,0,Male,[50:55),4005
2049.0,1,Male,[55:60),3456
2049.0,0,Male,[55:60),3456
2049.0,1,Male,[60:65),2532
2049.0,0,Male,[60:65),2532
2049.0,1,Male,[65:70),1724
2049.0,0,Male,[65:70),1724
2049.0,1,Male,[70:75),946
2049.0,0,Male,[70:75),946
2049.0,1,Male,[75:80),499
2049.0,0,Male,[75:80),499
2049.0,1,Female,[0:5),6260
2049.0,0,Female,[0:5),6260
2049.0,1,Female,[0:200),75849
2049.0,0,Female,[0:200),75849
2049.0,1,Female,[5:10),6197
2049.0,0,Female,[5:10),6197
2049.0,1,Female,[10:15),6385
2049.0,0,Female,[10:15),6385
2049.0,1,Female,[15:20),6215
2049.0,0,Female,[15:20),6215
2049.0,1,Female,[20:25),6204
2049.0,0,Female,[20:25),6204
2049.0,1,Female,[25:30),6007
2049.0,0,Female,[25:30),6007
2049.0,1,Female,[30:35),5879
2049.0,0,Female,[30:35),5879
2049.0,1,Female,[35:40),5439
2049.0,0,Female,[35:40),5439
