Year,Node,Gender,AgeBin,Result
2048.0,1,Male,[0:5),5931
2048.0,0,Male,[0:5),5931
2048.0,1,Male,[0:200),67048
2048.0,0,Male,[0:200),67048
2048.0,1,Male,[5:10),5705
2048.0,0,Male,[5:10),5705
2048.0,1,Male,[10:15),6037
2048.0,0,Male,[10:15),6037
2048.0,1,Male,[15:20),5805
2048.0,0,Male,[15:20),5805
2048.0,1,Male,[20:25),5701
2048.0,0,Male,[20:25),5701
2048.0,1,Male,[25:30),5610
2048.0,0,Male,[25:30),5610
2048.0,1,Male,[30:35),5427
2048.0,0,Male,[30:35),5427
2048.0,1,Male,[35:40),5020
2048.0,0,Male,[35:40),5020
2048.0,1,Male,[40:45),4534
2048.0,0,Male,[40:45),4534
2048.0,1,Male,[45:50),4169
2048.0,0,Male,[45:50),4169
2048.0,1,Male,[50:55),3886
2048.0,0,Male,[50:55),3886
2048.0,1,Male,[55:60),3323
2048.0,0,Male,[55:60),3323
2048.0,1,Male,[60:65),2570
2048.0,0,Male,[60:65),2570
2048.0,1,Male,[65:70),1629
2048.0,0,Male,[65:70),1629
2048.0,1,Male,[70:75),910
2048.0,0,Male,[70:75),910
2048.0,1,Male,[75:80),506
2048.0,0,Male,[75:80),506
2048.0,1,Female,[0:5),5852
2048.0,0,Female,[0:5),5852
2048.0,1,Female,[0:200),70416
2048.0,0,Female,[0:200),70416
2048.0,1,Female,[5:10),5796
2048.0,0,Female,[5:10),5796
2048.0,1,Female,[10:15),5986
2048.0,0,Female,[10:15),5986
2048.0,1,Female,[15:20),5868
2048.0,0,Female,[15:20),5868
2048.0,1,Female,[20:25),5750
2048.0,0,Female,[20:25),5750
2048.0,1,Female,[25:30),5522
2048.0,0,Female,[25:30),5522
2048.0,1,Female,[30:35),5381
2048.0,0,Female,[30:35),5381
2048.0,1,Female,[35:40),5182
2048.0,0,Female,[35:40),5182
2048.0,1,Female,[40:45),4766
2048.0,0,Female,[40:45),4766
2048.0,1,Female,[45:50),4372
2048.0,0,Female,[45:50),4372
2048.0,1,Female,[50:55),4128
2048.0,0,Female,[50:55),4128
2048.0,1,Female,[55:60),3820
2048.0,0,Female,[55:60),3820
2048.0,1,Female,[60:65),2898
2048.0,0,Female,[60:65),2898
2048.0,1,Female,[65:70),1976
2048.0,0,Female,[65:70),1976
2048.0,1,Female,[70:75),1316
2048.0,0,Female,[70:75),1316
2048.0,1,Female,[75:80),880
2048.0,0,Female,[75:80),880
2049.0,1,Male,[0:5),5974
2049.0,0,Male,[0:5),5974
2049.0,1,Male,[0:200),67673
2049.0,0,Male,[0:200),67673
2049.0,1,Male,[5:10),5722
2049.0,0,Male,[5:10),5722
2049.0,1,Male,[10:15),5988
2049.0,0,Male,[10:15),5988
2049.0,1,Male,[15:20),5813
2049.0,0,Male,[15:20),5813
2049.0,1,Male,[20:25),5705
2049.0,0,Male,[20:25),5705
2049.0,1,Male,[25:30),5624
2049.0,0,Male,[25:30),5624
2049.0,1,Male,[30:35),5472
2049.0,0,Male,[30:35),5472
2049.0,1,Male,[35:40),5048
2049.0,0,Male,[35:40),5048
2049.0,1,Male,[40:45),4624
2049.0,0,Male,[40:45),4624
2049.0,1,Male,[45:50),4211
2049.0,0,Male,[45:50),4211
2049.0,1,Male,[50:55),3863
2049.0,0,Male,[50:55),3863
2049.0,1,Male,[55:60),3414
2049.0,0,Male,[55:60),3414
2049.0,1,Male,[60:65),2667
2049.0,0,Male,[60:65),2667
2049.0,1,Male,[65:70),1739
2049.0,0,Male,[65:70),1739
2049.0,1,Male,[70:75),985
2049.0,0,Male,[70:75),985
2049.0,1,Male,[75:80),514
2049.0,0,Male,[75:80),514
2049.0,1,Female,[0:5),5799
2049.0,0,Female,[0:5),5799
2049.0,1,Female,[0:200),71190
2049.0,0,Female,[0:200),71190
2049.0,1,Female,[5:10),5801
2049.0,0,Female,[5:10),5801
2049.0,1,Female,[10:15),6003
2049.0,0,Female,[10:15),6003
2049.0,1,Female,[15:20),5885
2049.0,0,Female,[15:20),5885
2049.0,1,Female,[20:25),5770
2049.0,0,Female,[20:25),5770
2049.0,1,Female,[25:30),5549
2049.0,0,Female,[25:30),5549
2049.0,1,Female,[30:35),5399
2049.0,0,Female,[30:35),5399
2049.0,1,Female,[35:40),5271
2049.0,0,Female,[35:40),5271
2049.0,1,Female,[40:45),4815
2049.0,0,Female,[40:45),4815
2049.0,1,Female,[45:50),4437
2049.0,0,Female,[45:50),4437
2049.0,1,Female,[50:55),4170
2049.0,0,Female,[50:55),4170
